Year,Player,Team
1924,Jesse Haines,STL
1923,Howard Ehmke,BOS
1923,Sad Sam Jones,NYY
1922,Jesse Barnes,NYG
1922,Charlie Robertson,CHW
1920,Walter Johnson,WSH
1919,Ray Caldwell,CLE
1919,Hod Eller,CIN
1918,Dutch Leonard,BOS
1917,Bob Groom,SLB
1917,Ernie Koob,SLB
1917,Fred Toney,CIN
1917,George Mogridge,NYY
1917,Eddie Cicotte,CHW
1916,Dutch Leonard,BOS
1916,Bullet Joe Bush,PHA
1916,Rube Foster,BOS
1916,Tom Hughes,BSN
1915,Dave Davenport,SLM
1915,Jimmy Lavender,CHC
1915,Alex Main,KCP
1915,Claude Hendrix,CHI
1915,Frank Allen,PBS
1915,Rube Marquard,NYG
1914,Ed Lafitte,BTT
1914,George Davis,BSN
1914,Joe Benz,CHW
1912,Jeff Tesreau,NYG
1912,Earl Hamilton,SLB
1912,George Mullin,DET
1911,Ed Walsh,CHW
1911,Smoky Joe Wood,BOS
1910,Charles Bender,PHA
1910,Addie Joss,CLE
1908,Addie Joss,CLE
1908,Frank Smith,CHW
1908,Bob Rhoads,CLE
1908,Nap Rucker,BRO
1908,Hooks Wiltse,NYG
1908,Cy Young,BOS
1907,Nick Maddox,PIT
1907,Big Jeff Pfeffer,BSN
1906,Mal Eason,BRO
1906,Johnny Lush,PHI
1905,Bill Dinneen,BOS
1905,Frank Smith,CHW
1905,Weldon Henley,PHA
1905,Christy Mathewson,NYG
1904,Jesse Tannehill,BOS
1904,Cy Young,BOS
1903,Chick Fraser,PHI
1902,Jimmy Callahan,CHW
1901,Christy Mathewson,NYG
1901,Pete Dowling,CLE
1900,Noodles Hahn,CIN
1899,Vic Willis,BSN
1899,Deacon Phillippe,LOU
1898,Walter Thornton,CHC
1898,Red Donahue,PHI
1898,Theodore Breitenstein,CIN
1898,Jay Hughes,BLN
1897,Cy Young,CLV
1893,Bill Hawke,BLN
1892,Bumpus Jones,CIN
1892,Ben Sanders,LOU
1892,Jack Stivetts,BSN
1891,Theodore Breitenstein,STL
1891,Amos Rusie,NYG
1891,Tom Lovett,BRO
1890,Ledell Titcomb,ROC
1888,Gus Weyhing,PHA
1888,Ed Seward,PHA
1888,Henry Porter,KCC
1888,Adonis Terry,BRO
1886,Matt Kilroy,BAL
1886,Adonis Terry,BRO
1886,Al Atkinson,PHA
1885,Charlie Ferguson,PHI
1885,John Clarkson,CHC
1884,Sam Kimber,BRO
1884,Ed Cushman,MIL
1884,Dick Burns,COR
1884,Pud Galvin,BUF
1884,Larry Corcoran,CHC
1884,Frank Mountain,COL
1884,Ed Morris,COL
1884,Al Atkinson,PHA
1883,Hugh Daily,CLV
1883,Old Hoss Radbourn,PRO
1882,Larry Corcoran,CHC
1882,Guy Hecker,LOU
1882,Tony Mullane,LOU
1880,Pud Galvin,BUF
1880,Larry Corcoran,CHC
1880,John Ward,PRO
1880,Lee Richmond,WOR
1876,George Bradley,STL
1875,Joe Borden,PHI
